Network	Filename	No.of genes	No. of groups
BioCarta 	BIOCARTA.hsa	1259	219
CPW_collection 	CPW_collection.hsa	1529	42
GO biological process 	GO_BP.hsa	6032	825
GO cellular compartment 	GO_CC.hsa	5115	233
GO molecular function 	GO_MF.hsa	5190	396
KEGG pathways, all 	KEGG.ALL.hsa	4851	236
KEGG pathways, basic 	KEGG.OTH.hsa	1878	133
KEGG pathways, disease 	KEGG.DIS.hsa	744	35
KEGG pathways, signaling 	KEGG.SIG.hsa	3069	68
MetaCyc pathways 	METACYC.hsa	2933	486
Reactome pathways 	REACTOME.hsa	4075	430
Third-part pathways and groups 	REST.hsa	2397	64
WikiPathways.hsa	WIKIPW.hsa	3790	173
Related to tumor microenvironment	Related_pathways.groups	2845	95
