Gene	WT_Nondiff_3_Control_vs_WT_Nondiff_2_Control-FC	WT_Nondiff_3_Control_vs_WT_Nondiff_2_Control-p	WT_Nondiff_3_Control_vs_WT_Nondiff_2_Control-FDR	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_1_Control-FC	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_1_Control-p	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_1_Control-FDR	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_2_Control-FC	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_2_Control-p	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_2_Control-FDR	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_3_Control-FC	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_3_Control-p	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_3_Control-FDR
0610005C13Rik	1.3	0.32	0.42	-0.66	0.6	0.9	-1.2	0.064	0.22	-2.6	0.068	0.22
0610007P14Rik	0.08	0.36	0.46	0.67	0.0078	0.1	0.46	0.013	0.071	0.38	0.027	0.11
0610009B14Rik	1.6	0.32	0.42	3	0.074	0.37	0.05	0.97	0.98	-1.5	0.22	0.53
0610009B22Rik	-0.02	0.87	0.9	-0.11	0.61	0.9	-0.64	0.019	0.094	-0.61	0.035	0.13
0610009D07Rik	0.19	0.13	0.21	-0.03	0.73	0.9	-0.38	0.0029	0.029	-0.57	0.0052	0.036
0610009E02Rik	-0.19	0.59	0.67	0.51	0.25	0.79	1.6	0.0084	0.054	1.8	0.0093	0.051
0610009L18Rik	-1.2	0.013	0.028	0.55	0.76	0.9	1.9	0.14	0.41	3.1	0.042	0.15
0610009O20Rik	0.25	0.21	0.31	0.49	0.22	0.75	0.89	0.027	0.12	0.64	0.071	0.22
0610010F05Rik	-0.18	0.099	0.17	0.66	0.014	0.14	0.37	0.043	0.16	0.54	0.019	0.084
0610010K14Rik	0.2	0.76	0.82	0.34	0.76	0.9	0.23	0.83	0.85	0.02	0.98	0.98
0610011F06Rik	-0.35	0.43	0.53	0.68	0.29	0.82	0.75	0.16	0.46	1.1	0.1	0.3
0610012D04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
0610012G03Rik	-0.18	0.73	0.79	-0.66	0.58	0.9	0.42	0.5	0.8	0.6	0.41	0.68
0610012H03Rik	0.43	0.1	0.17	0.62	0.34	0.85	-0.22	0.67	0.8	-0.63	0.26	0.62
0610025J13Rik	-1.8	0.021	0.045	-1.2	0.24	0.76	-1.1	0.26	0.59	0.7	0.47	0.68
0610030E20Rik	-0.22	0.11	0.18	0.28	0.15	0.58	0.3	0.093	0.3	0.51	0.03	0.12
0610031J06Rik	-0.18	0.52	0.6	-0.02	0.96	0.97	0.01	0.98	0.99	0.19	0.62	0.68
0610037L13Rik	0.14	0.003	0.007	-0.05	0.76	0.9	0.04	0.69	0.8	-0.09	0.43	0.68
0610038L08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
0610039K10Rik	1.4	0.43	0.53	-1.2	0.52	0.9	-0.3	0.18	0.5	-1.7	0.24	0.58
0610040B09Rik	2.4	0.035	0.07	0.75	0.3	0.82	2.3	0.015	0.079	-0.1	0.64	0.68
0610040B10Rik	-0.54	0.095	0.16	-0.36	0.59	0.9	0.17	0.79	0.82	0.71	0.31	0.67
0610040F04Rik	-1.2	0.42	0.52	1.5	0.14	0.57	-0.73	0.26	0.59	0.51	0.69	0.73
0610040J01Rik	0.42	0.31	0.41	0.7	0.31	0.83	1	0.13	0.38	0.57	0.37	0.68
