name	A_vs_B	A_vs_B	A_vs_B
0610005C13Rik	1.32	0.32	0.42
0610007P14Rik	0.08	0.36	0.46
0610008F07Rik	0.16	0.002	0.0048
0610009B14Rik	1.6	0.32	0.42
0610009B22Rik	-0.02	0.87	0.9
0610009D07Rik	0.19	0.13	0.21
0610009E02Rik	-0.19	0.59	0.67
0610009L18Rik	-1.2	0.013	0.028
0610009O20Rik	0.25	0.21	0.31
0610010F05Rik	-0.18	0.099	0.17
0610010K14Rik	0.2	0.76	0.82
0610011F06Rik	-0.35	0.43	0.53
0610012D04Rik	0.16	0.002	0.0048
0610012G03Rik	-0.18	0.73	0.79
0610012H03Rik	0.43	0.1	0.17
0610025J13Rik	-1.8	0.021	0.045
0610030E20Rik	-0.22	0.11	0.18
0610031J06Rik	-0.18	0.52	0.6
0610037L13Rik	0.14	0.003	0.007
0610038L08Rik	0.16	0.002	0.0048
0610038P03Rik	0.16	0.002	0.0048
0610039K10Rik	1.4	0.43	0.53
0610040B09Rik	2.4	0.035	0.07
0610040B10Rik	-0.54	0.095	0.16
0610040F04Rik	-1.2	0.42	0.52
0610040J01Rik	0.42	0.31	0.41
0610043K17Rik	-0.26	0.55	0.64
1100001G20Rik	0.16	0.002	0.0048
1110001A16Rik	-0.26	0.046	0.089
